Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2010-10-09,Bitcoin-MVRV,6.352666686780362,6.352666686780362,6.352666686780362,6.352666686780362,0,6.352666686780362
2010-10-13,Bitcoin-MVRV,6.214854613593326,6.214854613593326,6.214854613593326,6.214854613593326,0,6.214854613593326
2010-10-16,Bitcoin-MVRV,5.679127631781949,5.679127631781949,5.679127631781949,5.679127631781949,0,5.679127631781949
2010-10-18,Bitcoin-MVRV,4.979139903776081,4.979139903776081,4.979139903776081,4.979139903776081,0,4.979139903776081
2010-10-20,Bitcoin-MVRV,4.560850802146239,4.560850802146239,4.560850802146239,4.560850802146239,0,4.560850802146239
2010-10-23,Bitcoin-MVRV,4.789431197078049,4.789431197078049,4.789431197078049,4.789431197078049,0,4.789431197078049
2010-10-26,Bitcoin-MVRV,7.190653261131217,7.190653261131217,7.190653261131217,7.190653261131217,0,7.190653261131217
2010-10-28,Bitcoin-MVRV,6.838713788240303,6.838713788240303,6.838713788240303,6.838713788240303,0,6.838713788240303
2010-10-30,Bitcoin-MVRV,6.072797768041808,6.072797768041808,6.072797768041808,6.072797768041808,0,6.072797768041808
2010-11-02,Bitcoin-MVRV,5.993658940658169,5.993658940658169,5.993658940658169,5.993658940658169,0,5.993658940658169
2010-11-05,Bitcoin-MVRV,6.235026553419015,6.235026553419015,6.235026553419015,6.235026553419015,0,6.235026553419015
2010-11-08,Bitcoin-MVRV,7.850217150450235,7.850217150450235,7.850217150450235,7.850217150450235,0,7.850217150450235
2010-11-10,Bitcoin-MVRV,5.216547525357675,5.216547525357675,5.216547525357675,5.216547525357675,0,5.216547525357675
2010-11-13,Bitcoin-MVRV,3.66258987638532,3.66258987638532,3.66258987638532,3.66258987638532,0,3.66258987638532
2010-11-15,Bitcoin-MVRV,4.37631151897706,4.37631151897706,4.37631151897706,4.37631151897706,0,4.37631151897706
2010-11-18,Bitcoin-MVRV,3.872142473331862,3.872142473331862,3.872142473331862,3.872142473331862,0,3.872142473331862
2010-11-21,Bitcoin-MVRV,3.787009891585725,3.787009891585725,3.787009891585725,3.787009891585725,0,3.787009891585725
2010-11-24,Bitcoin-MVRV,3.80443050512991,3.80443050512991,3.80443050512991,3.80443050512991,0,3.80443050512991
2010-11-27,Bitcoin-MVRV,3.79812415616132,3.79812415616132,3.79812415616132,3.79812415616132,0,3.79812415616132
2010-11-30,Bitcoin-MVRV,3.6060511674575415,3.6060511674575415,3.6060511674575415,3.6060511674575415,0,3.6060511674575415
2010-12-03,Bitcoin-MVRV,3.105250430873546,3.105250430873546,3.105250430873546,3.105250430873546,0,3.105250430873546
2010-12-06,Bitcoin-MVRV,3.1085727836953763,3.1085727836953763,3.1085727836953763,3.1085727836953763,0,3.1085727836953763
2010-12-08,Bitcoin-MVRV,2.851398194228141,2.851398194228141,2.851398194228141,2.851398194228141,0,2.851398194228141
2010-12-11,Bitcoin-MVRV,2.7860916729471272,2.7860916729471272,2.7860916729471272,2.7860916729471272,0,2.7860916729471272
2010-12-14,Bitcoin-MVRV,2.785240170248854,2.785240170248854,2.785240170248854,2.785240170248854,0,2.785240170248854
2010-12-17,Bitcoin-MVRV,2.9806841330457843,2.9806841330457843,2.9806841330457843,2.9806841330457843,0,2.9806841330457843
2010-12-20,Bitcoin-MVRV,3.054742318274143,3.054742318274143,3.054742318274143,3.054742318274143,0,3.054742318274143
2010-12-24,Bitcoin-MVRV,2.906645805849461,2.906645805849461,2.906645805849461,2.906645805849461,0,2.906645805849461
2010-12-27,Bitcoin-MVRV,3.007167246884845,3.007167246884845,3.007167246884845,3.007167246884845,0,3.007167246884845
2010-12-31,Bitcoin-MVRV,3.28057789987391,3.28057789987391,3.28057789987391,3.28057789987391,0,3.28057789987391
2011-01-03,Bitcoin-MVRV,3.2246692166756343,3.2246692166756343,3.2246692166756343,3.2246692166756343,0,3.2246692166756343
2011-01-06,Bitcoin-MVRV,3.166517064433692,3.166517064433692,3.166517064433692,3.166517064433692,0,3.166517064433692
2011-01-10,Bitcoin-MVRV,3.316107105272745,3.316107105272745,3.316107105272745,3.316107105272745,0,3.316107105272745
2011-01-13,Bitcoin-MVRV,3.4674330657478007,3.4674330657478007,3.4674330657478007,3.4674330657478007,0,3.4674330657478007
2011-01-16,Bitcoin-MVRV,3.85293784675353,3.85293784675353,3.85293784675353,3.85293784675353,0,3.85293784675353
2011-01-20,Bitcoin-MVRV,3.4554095950317545,3.4554095950317545,3.4554095950317545,3.4554095950317545,0,3.4554095950317545
2011-01-23,Bitcoin-MVRV,3.867166829700618,3.867166829700618,3.867166829700618,3.867166829700618,0,3.867166829700618
2011-01-26,Bitcoin-MVRV,3.7016847489143534,3.7016847489143534,3.7016847489143534,3.7016847489143534,0,3.7016847489143534
2011-01-29,Bitcoin-MVRV,3.3645565506834565,3.3645565506834565,3.3645565506834565,3.3645565506834565,0,3.3645565506834565
2011-02-02,Bitcoin-MVRV,4.4083997561022334,4.4083997561022334,4.4083997561022334,4.4083997561022334,0,4.4083997561022334
2011-02-05,Bitcoin-MVRV,5.240339239445641,5.240339239445641,5.240339239445641,5.240339239445641,0,5.240339239445641
2011-02-08,Bitcoin-MVRV,5.337258459928735,5.337258459928735,5.337258459928735,5.337258459928735,0,5.337258459928735
2011-02-11,Bitcoin-MVRV,5.406203139760877,5.406203139760877,5.406203139760877,5.406203139760877,0,5.406203139760877
2011-02-13,Bitcoin-MVRV,5.589348974937179,5.589348974937179,5.589348974937179,5.589348974937179,0,5.589348974937179
2011-02-16,Bitcoin-MVRV,5.200244097803022,5.200244097803022,5.200244097803022,5.200244097803022,0,5.200244097803022
2011-02-18,Bitcoin-MVRV,4.922050071002375,4.922050071002375,4.922050071002375,4.922050071002375,0,4.922050071002375
2011-02-21,Bitcoin-MVRV,4.25858674110586,4.25858674110586,4.25858674110586,4.25858674110586,0,4.25858674110586
2011-02-24,Bitcoin-MVRV,4.108200362401518,4.108200362401518,4.108200362401518,4.108200362401518,0,4.108200362401518
2011-02-26,Bitcoin-MVRV,4.338133298536295,4.338133298536295,4.338133298536295,4.338133298536295,0,4.338133298536295
2011-03-01,Bitcoin-MVRV,3.9363083493583417,3.9363083493583417,3.9363083493583417,3.9363083493583417,0,3.9363083493583417
2011-03-04,Bitcoin-MVRV,3.3684709722412207,3.3684709722412207,3.3684709722412207,3.3684709722412207,0,3.3684709722412207
2011-03-06,Bitcoin-MVRV,3.239614179290438,3.239614179290438,3.239614179290438,3.239614179290438,0,3.239614179290438
2011-03-09,Bitcoin-MVRV,3.153360574515516,3.153360574515516,3.153360574515516,3.153360574515516,0,3.153360574515516
2011-03-13,Bitcoin-MVRV,3.169543757634828,3.169543757634828,3.169543757634828,3.169543757634828,0,3.169543757634828
2011-03-17,Bitcoin-MVRV,2.936734763082982,2.936734763082982,2.936734763082982,2.936734763082982,0,2.936734763082982
2011-03-22,Bitcoin-MVRV,2.5813284972999995,2.5813284972999995,2.5813284972999995,2.5813284972999995,0,2.5813284972999995
2011-03-25,Bitcoin-MVRV,2.882672846649724,2.882672846649724,2.882672846649724,2.882672846649724,0,2.882672846649724
2011-03-29,Bitcoin-MVRV,2.7266432051085725,2.7266432051085725,2.7266432051085725,2.7266432051085725,0,2.7266432051085725
2011-04-01,Bitcoin-MVRV,2.502670493792539,2.502670493792539,2.502670493792539,2.502670493792539,0,2.502670493792539
2011-04-04,Bitcoin-MVRV,2.480226024215465,2.480226024215465,2.480226024215465,2.480226024215465,0,2.480226024215465
2011-04-08,Bitcoin-MVRV,2.309576404460832,2.309576404460832,2.309576404460832,2.309576404460832,0,2.309576404460832
2011-04-11,Bitcoin-MVRV,2.334549108336746,2.334549108336746,2.334549108336746,2.334549108336746,0,2.334549108336746
2011-04-14,Bitcoin-MVRV,2.907053756596929,2.907053756596929,2.907053756596929,2.907053756596929,0,2.907053756596929
2011-04-17,Bitcoin-MVRV,3.1749405162461835,3.1749405162461835,3.1749405162461835,3.1749405162461835,0,3.1749405162461835
